,county_state,all_pubs_tot_circ_household,tot_households_est,diff_margin_gop_2016_2012,diff_cvap_turnout_2016_2012,pct_uninsured,unemployment_rate,pct_white_nonhispanic,any_college_aggregate,fips,fips2,trump_win,margin_gop_2016,margin_gop_2012,combined_cvap_turnout_2016
1821,ARANSAS//TX,0.191179508366,9682.0,7.59361575566,0.299579,19.2,6.0,68.2570393545,53.3709749553,48007.0,48007.0,1,50.3678226808,42.7742069252,52.212709
1822,DESOTO//MS,0.191501416431,60010.0,1.3188251013,-3.930843,13.0,3.5,68.0121718292,58.7334315169,28033.0,28033.0,1,34.773983943,33.4551588417,51.622295
1823,LAWRENCE//SD,0.191584346505,10528.0,7.37396422679,2.324384,13.9,2.8,91.3248123352,61.0451306413,46081.0,46081.0,1,34.2425266002,26.8685623734,60.213792
1824,HARRISON//IN,0.191591344837,14604.0,21.5167233221,1.484197,10.1,3.8,96.0616874841,45.8865535392,18061.0,18061.0,1,44.3490932642,22.8323699422,60.49031
1825,CAMPBELL//VA,0.19205176449,21791.0,7.80476935244,2.509534,11.3,4.1,80.6151385152,48.7384519835,51031.0,51031.0,1,47.1930340216,39.3882646692,61.00105
1826,WALWORTH//WI,0.19216606134,39648.0,7.67889369259,-1.728153,9.1,3.6,85.6539756791,58.3231661955,55127.0,55127.0,1,20.0553687957,12.3764751031,66.711426
1827,DOUGLAS//MN,0.192171733402,15559.0,20.3008003583,0.645316,5.9,3.2,96.5756417258,64.1185527329,27041.0,27041.0,1,35.7905933497,15.4897929913,73.935366
1828,TODD//MN,0.192194328692,9839.0,31.5857354157,3.83004,11.9,4.6,91.9398348729,50.7329088069,27153.0,27153.0,1,47.7394507703,16.1537153545,68.770099
1829,DELAWARE//NY,0.192347627453,19262.0,19.6234244577,4.605675,9.1,5.0,92.5801155626,48.3024088052,36025.0,36025.0,1,29.1765102936,9.5530858359,53.968406
1830,MARION//TN,0.192711496746,11525.0,22.5233044386,1.306826,12.7,6.5,92.3090510846,40.7249042908,47115.0,47115.0,1,44.7839734121,22.2606689735,48.48173
1831,MAJOR//OK,0.192723697148,3051.0,5.72916345202,5.292273,12.3,3.8,85.8571428571,46.0584080931,40093.0,40093.0,1,77.3756987349,71.6465352829,61.287272
1832,MCPHERSON//NE,0.192893401015,197.0,17.3788280685,-3.590692,1.8,2.0,97.4595842956,66.3608562691,31117.0,31117.0,1,84.965034965,67.5862068966,74.370342
1833,PERRY//IN,0.192941499588,7282.0,30.1983123867,2.838415,9.4,4.0,94.4473060678,34.5463864685,18123.0,18123.0,1,18.6168224299,-11.5814899568,54.21021
1834,RITCHIE//WV,0.193049213597,3942.0,14.7005141965,4.977771,13.4,6.0,97.8796844181,33.5296534721,54085.0,54085.0,1,71.4356435644,56.7351293678,51.757091
