,county_state,all_pubs_tot_circ_household,tot_households_est,diff_margin_gop_2016_2012,pct_uninsured,unemployment_rate,pct_white_nonhispanic,any_college_aggregate,fips,fips2,trump_win,margin_gop_2016,margin_gop_2012,turnoutcvap
1485,PRAIRIE//AR,0.178515420805,3826.0,9.08974163809,13.2,3.5,85.3963342061,37.4341238472,5117.0,5117.0,1,49.6768507638,40.5871091257,0.47229415
1486,VAN BUREN//MI,0.178517291219,28367.0,14.3975933374,11.8,4.4,81.8794707436,52.3291711729,26159.0,26159.0,1,13.9463463102,-0.451247027258,0.59540588
1487,LAPORTE//IN,0.178681052925,43004.0,18.9942768495,11.6,5.0,80.3711358735,47.396596197,18091.0,18091.0,1,6.4075210028,-12.5867558467,0.51568091
1488,POINTE COUPEE//LA,0.17877607151,8726.0,8.06339989523,15.8,5.9,60.2275757845,38.7603412616,22077.0,22077.0,1,17.2179236459,9.15452375072,0.71467143
1489,FRANKLIN//AR,0.178803066038,6784.0,10.1722713767,12.6,3.4,92.8187618941,41.6838971136,5047.0,5047.0,1,54.6133174082,44.4410460315,0.48126271
1490,DOOR//WI,0.179210363973,12968.0,10.1874435411,6.5,4.5,94.8288918539,60.7207965222,55029.0,55029.0,1,3.2072652029,-6.98017833816,0.77815861
1491,CLINTON//IA,0.179299347187,20067.0,28.0597246921,6.1,4.4,91.7006099452,55.2007682612,19045.0,19045.0,1,5.14330930192,-22.9164153902,0.67952532
1492,UPSHUR//WV,0.1795886946,9093.0,11.1554550639,13.1,6.0,96.4006514658,35.6979954387,54097.0,54097.0,1,56.7320261438,45.5765710799,0.42563149
1493,CORYELL//TX,0.179760868569,21829.0,2.90574017343,10.6,4.4,60.1421290458,57.9213326767,48099.0,48099.0,1,39.4715065924,36.5657664189,0.30373847
1494,CADDO//LA,0.179792021716,97991.0,0.704508637063,16.0,6.1,46.6063703669,53.0235545275,22017.0,22017.0,0,-4.22841578634,-4.9329244234,0.5858168
1495,GREENBRIER//WV,0.179933502836,15339.0,16.363316044,12.2,4.4,93.4391297034,40.8323397054,54025.0,54025.0,1,41.1613272311,24.7980111871,0.45332551
1496,MADISON//MT,0.18017215791,3369.0,4.1436283289,15.6,4.4,94.3221320973,58.2282680823,30057.0,30057.0,1,44.7111299915,40.5675016626,0.714625
1497,CLARKE//IA,0.180555555556,3744.0,29.6504034699,12.2,2.7,87.8987068966,44.0699935191,19039.0,19039.0,1,28.2179341657,-1.43246930423,0.67155778
1498,UNION//IN,0.180560242997,2963.0,20.2500482652,12.0,3.4,96.2597616112,45.3959298811,18161.0,18161.0,1,52.6475958612,32.397547596,0.5554083
